Meal,Weather,Wait,Temperature,Decision
Dinner,Rain,None,65,Stay
Dinner,Rain,None,86,Stay
Lunch,Sunny,None,48,Stay
Dinner,Rain,None,75,Stay
Dinner,Rain,Short,50,Stay
Dinner,Rain,Long,47,Stay
Dinner,Sunny,Long,97,Stay
Lunch,Cloudy,None,63,Stay
Lunch,Rain,None,93,Left
Dinner,Cloudy,None,87,Stay
Dinner,Cloudy,None,90,Stay
Lunch,Rain,None,46,Stay
Dinner,Cloudy,Short,47,Left
Lunch,Rain,Short,40,Stay
Dinner,Cloudy,Short,72,Left
Dinner,Rain,None,80,Left
Lunch,Rain,Short,90,Stay
Dinner,Cloudy,None,70,Stay
Dinner,Cloudy,Short,88,Stay
Dinner,Sunny,Long,81,Left
Dinner,Sunny,None,58,Stay
Lunch,Cloudy,Long,78,Left
Dinner,Cloudy,Short,82,Left
Lunch,Rain,Short,51,Stay
Dinner,Cloudy,Short,44,Left
Dinner,Rain,Short,55,Stay
Dinner,Sunny,Long,75,Left
Lunch,Sunny,Short,69,Stay
Dinner,Rain,Short,47,Stay
Dinner,Cloudy,Short,96,Stay
Dinner,Cloudy,Short,89,Stay
Lunch,Sunny,Short,56,Left
Lunch,Rain,None,87,Stay
Dinner,Cloudy,Short,79,Left
Dinner,Cloudy,None,40,Stay
Dinner,Cloudy,Short,90,Stay
Lunch,Sunny,None,88,Stay
Lunch,Cloudy,None,89,Stay
Lunch,Sunny,Long,50,Left
Dinner,Rain,Short,40,Stay
Lunch,Sunny,Short,47,Left
Lunch,Cloudy,None,87,Stay
Lunch,Cloudy,Long,91,Left
Dinner,Cloudy,Short,92,Stay
Dinner,Rain,Short,63,Stay
Dinner,Rain,Long,76,Left
Lunch,Sunny,Long,94,Left
Lunch,Rain,Long,92,Left
Dinner,Rain,Long,96,Left
Lunch,Sunny,None,95,Stay
Dinner,Sunny,None,62,Stay
Lunch,Sunny,Short,56,Left
Lunch,Sunny,Short,79,Left
Dinner,Rain,Long,92,Left
Dinner,Sunny,None,87,Stay
Dinner,Sunny,Long,91,Left
Dinner,Rain,Short,88,Stay
Lunch,Cloudy,Long,73,Left
Lunch,Cloudy,Long,79,Left
Lunch,Cloudy,Long,78,Left
Lunch,Rain,Long,54,Left
Lunch,Rain,Long,91,Left
Dinner,Rain,Short,44,Stay
Dinner,Cloudy,Long,94,Left
Lunch,Cloudy,None,99,Stay
Lunch,Rain,Short,48,Stay
Dinner,Sunny,Long,71,Left
Dinner,Rain,Long,65,Left
Lunch,Rain,Short,84,Stay
Dinner,Rain,Long,43,Stay
Lunch,Sunny,Long,66,Left
Lunch,Cloudy,Long,83,Left
Dinner,Sunny,Long,55,Left
Dinner,Sunny,Short,83,Left
Dinner,Rain,None,50,Stay
Lunch,Sunny,None,64,Stay
Lunch,Sunny,Short,59,Left
Lunch,Cloudy,Short,50,Left
Dinner,Sunny,Short,54,Left
Dinner,Sunny,Long,65,Left
Lunch,Cloudy,Short,89,Stay
Dinner,Rain,Short,47,Stay
Dinner,Cloudy,Short,67,Left
Lunch,Cloudy,None,58,Stay
Dinner,Sunny,Short,97,Stay
Lunch,Sunny,Short,51,Left
Dinner,Rain,None,52,Stay
